m.missiontype	m.startyear	m.platform	m.missionnumber	f.serialnumber	c.catchsampleid	fishno	preysampleid	preypartnumber	preycategory	preyforeignobject	source	preydigestion	totalcount	weightresolution	totalweight	interval	devstage	preylengthmeasurement	smallestfreq	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40
4	2020	1019	9	2207	13	1	1	1	96967			3		3	0.0014																																												
4	2020	1019	9	2213	5	1	1	1							0.0																																												
4	2020	1019	9	2213	5	2	2	1	172877			2	2	3	0.0014	3		E	3.0	2																																							
4	2020	1019	9	2213	5	2	3	1	83677			4		3	0.0012																																												
4	2020	1019	9	2215	11	1	1	1							0.0																																												
4	2020	1019	9	2215	11	2	2	1	83677			4		3	1.5E-5																																												
4	2020	1019	9	2220	18	1	1	1	96967			2	1	3	0.0059	3		E	8.0	1																																							
4	2020	1019	9	2220	18	2	2	1							0.0																																												
4	2020	1019	9	2220	18	3	3	1							0.0																																												
4	2020	1019	9	2220	18	4	4	1	96967			2	1	3	0.0062	3		E	7.0	1																																							
4	2020	1019	9	2220	18	5	5	1							0.0																																												
4	2020	1019	9	2220	18	6	6	1							0.0																																												
4	2020	1019	9	2220	18	7	7	1	95500			3		3	0.0022																																												
4	2020	1019	9	2220	18	8	8	1	95500			3		3	0.00315																																												
4	2020	1019	9	2222	12	1	1	1							0.0																																												
4	2020	1019	9	2222	12	2	2	1							0.0																																												
4	2020	1019	9	2222	12	3	3	1							0.0																																												
4	2020	1019	9	2222	12	4	4	1							0.0																																												
4	2020	1019	9	2222	12	5	5	1							0.0																																												
4	2020	1019	9	2222	12	6	6	1							0.0																																												
4	2020	1019	9	2222	12	7	7	1	161105			4		3	0.2054																																												
4	2020	1019	9	2222	12	8	8	1	162035			3		3	0.0074																																												
4	2020	1019	9	2222	12	9	9	1							0.0																																												
4	2020	1019	9	2222	12	10	10	1	172877			2	1	3	6.0E-4	3		E	3.0	1																																							
4	2020	1019	9	2222	12	10	11	1	95500			3		3	0.0011																																												
4	2020	1019	9	2222	12	10	12	1	96967			3		3	0.00125																																												
4	2020	1019	9	2222	12	11	13	1	96967			3		3	0.0058																																												
4	2020	1019	9	2222	12	12	14	1							0.0																																												
4	2020	1019	9	2222	12	13	15	1							0.0																																												
4	2020	1019	9	2222	12	14	16	1							0.0																																												
4	2020	1019	9	2222	12	15	17	1							0.0																																												
4	2020	1019	9	2222	12	16	18	1							0.0																																												
